,node,degree,betweenness,closeness,eigcent,bdc,diffslc_09,description,MLA_group
5216,HORVU.MOREX.r2.5HG0447000,6,0,8.77E-07,0.000419643,5.458100341,0.546187713,ABC transporter G family member,HvInt
5217,HORVU.MOREX.r2.5HG0447040,1,0,8.75E-07,2.24E-06,0.911974014,0.091199416,Mediator of RNA polymerase II transcription subunit 13,HvInt
5218,HORVU.MOREX.r2.5HG0447050,4,7027,8.77E-07,8.04E-05,1.721756117,0.172247968,RNA polymerase sigma factor,MLA
5219,HORVU.MOREX.r2.5HG0447070,22,0,8.78E-07,0.009850084,12.75585261,1.284450336,60 kDa chaperonin,MLA
5220,HORVU.MOREX.r2.5HG0447340,5,14044,8.78E-07,3.96E-06,1.160106231,0.116014183,Myosin,HvInt
5221,HORVU.MOREX.r2.5HG0447400,10,0,8.77E-07,0.001659631,3.53927287,0.355420955,Flavin-containing monooxygenase,HvInt
5222,HORVU.MOREX.r2.5HG0447510,3,0,8.78E-07,0.000105372,1.442230173,0.144317852,Kinase family protein,HvInt
5223,HORVU.MOREX.r2.5HG0447780,5,0,8.77E-07,0.005144132,1.202391846,0.124868904,Glutathione S-transferase,MLA
5224,HORVU.MOREX.r2.6HG0448440,8,17657.94394,8.78E-07,1.71E-06,2.607437764,0.260745316,GDSL esterase/lipase,HvInt
5225,HORVU.MOREX.r2.6HG0448620,115,6696.453808,8.78E-07,0.003332417,58.8879816,5.891797335,"Protein kinase, putative",HvInt
5226,HORVU.MOREX.r2.6HG0448690,4,55332,8.77E-07,4.01E-05,1.603718882,0.16040797,Protein disulfide-isomerase,HvInt
5227,HORVU.MOREX.r2.6HG0448750,7,0,8.77E-07,0.000933277,1.559081944,0.156748143,RING/U-box superfamily protein,HvInt
5228,HORVU.MOREX.r2.6HG0448760,21,14053,8.78E-07,0.011023978,8.159018616,0.825823442,Protein disulfide-isomerase,MLA
5229,HORVU.MOREX.r2.6HG0448800,7,14016,8.77E-07,0.002390642,2.39819807,0.241971385,E3 ubiquitin-protein ligase,HvInt
5230,HORVU.MOREX.r2.6HG0448980,10,34151.83827,8.78E-07,9.43E-05,1.240799302,0.124164827,Ankyrin repeat family protein,HvInt
5231,HORVU.MOREX.r2.6HG0449050,9,0,8.77E-07,0.000256167,6.169453888,0.61717594,"DAG, chloroplastic",MLA
5232,HORVU.MOREX.r2.6HG0449480,72,345.6910973,8.78E-07,0.002329675,21.14611524,2.116708232,WAT1-related protein,HvInt
5233,HORVU.MOREX.r2.6HG0449520,35,0,8.78E-07,0.00020712,14.91187666,1.491374073,Bidirectional sugar transporter SWEET,HvInt
5234,HORVU.MOREX.r2.6HG0449560,7,7026,8.77E-07,0.001207675,2.976542794,0.298741187,Ferredoxin--NADP reductase,HvInt
5235,HORVU.MOREX.r2.6HG0449580,72,547.633103,8.78E-07,0.004291594,23.70015085,2.373877519,WAT1-related protein,HvInt
5236,HORVU.MOREX.r2.6HG0449710,3,0,8.77E-07,0.000614716,1.120526288,0.112605873,RNA binding protein,MLA
5237,HORVU.MOREX.r2.6HG0449760,16,0,8.78E-07,1.42E-05,7.341040444,0.734116816,MADS-box transcription factor,HvInt
5238,HORVU.MOREX.r2.6HG0449830,3,0,8.77E-07,0.005742465,1.03234625,0.108402843,"4,5-dioxygenase-like protein",MLA
5239,HORVU.MOREX.r2.6HG0449850,3,0,8.78E-07,0.003168312,0.932392714,0.096090752,Flavonoid 3'-hydroxylase,MLA
5240,HORVU.MOREX.r2.6HG0450090,60,0.176100629,8.78E-07,0.226050432,45.82781736,4.786227125,Cytochrome P450 family protein,HvInt
5241,HORVU.MOREX.r2.6HG0450210,4,0,8.77E-07,7.23E-05,1.890071261,0.189072176,"Ubiquitin-conjugating enzyme E2, putative",HvInt
5242,HORVU.MOREX.r2.6HG0450230,23,0,8.77E-07,0.005144355,5.880042468,0.592634166,Nitrate reductase,MLA
5243,HORVU.MOREX.r2.6HG0450400,3,0,8.76E-07,0.000381247,2.757549687,0.276098091,Aspartate aminotransferase,HvInt
5244,HORVU.MOREX.r2.6HG0450410,25,7594.583156,8.78E-07,0.000181373,10.15838398,1.016001633,Protein kinase,HvInt
5245,HORVU.MOREX.r2.6HG0450620,13,0,8.76E-07,0.019928352,5.597693091,0.577704826,Acetyltransferase component of pyruvate dehydrogenase complex,HvInt
5246,HORVU.MOREX.r2.6HG0450880,24,0,8.78E-07,0.000171473,2.105707048,0.210725031,RING finger protein,HvInt
5247,HORVU.MOREX.r2.6HG0450970,1,0,8.73E-07,1.30E-06,0.902673419,0.090268512,Zinc finger with UFM1-specific peptidase domain protein,HvInt
5248,HORVU.MOREX.r2.6HG0451050,8,0,8.78E-07,0.001542789,4.716425749,0.473031085,Transmembrane protein,HvInt
5249,HORVU.MOREX.r2.6HG0451070,72,57058,8.78E-07,0.015314612,25.23426993,2.537210143,U5 small nuclear ribonucleoprotein helicase,MLA
5250,HORVU.MOREX.r2.6HG0451310,5,0,8.77E-07,0.004369355,1.612369334,0.165169353,Chloroplast stem-loop binding protein,MLA
5251,HORVU.MOREX.r2.6HG0451430,11,7027,8.78E-07,0.00453749,2.039971144,0.208080855,Protein KINESIN LIGHT CHAIN-RELATED 3,MLA
5252,HORVU.MOREX.r2.6HG0451580,2,0,8.76E-07,4.93E-06,1.054064936,0.105410934,Pentatricopeptide repeat-containing protein,HvInt
5253,HORVU.MOREX.r2.6HG0451750,46,0.176100629,8.78E-07,0.382998453,39.60686569,4.305385176,Ribosomal protein L37,HvInt
5254,HORVU.MOREX.r2.6HG0451760,2,1,1.94E-08,0,1.711706985,0.171170699,Epoxide hydrolase 2,HvInt
5255,HORVU.MOREX.r2.6HG0451800,107,196.7146788,8.78E-07,0.012931119,29.63486223,2.975124231,Receptor-like protein kinase,MLA
5256,HORVU.MOREX.r2.6HG0452060,5,0,8.76E-07,0.00081989,1.298985334,0.130636435,Pre-mRNA-processing factor 39,MLA
5257,HORVU.MOREX.r2.6HG0452070,2,1.375,8.78E-07,3.63E-07,1.601859441,0.160186271,Expansin protein,HvInt
5258,HORVU.MOREX.r2.6HG0452230,165,352545.4916,8.78E-07,0.01616494,48.11371721,4.825920167,ATP-dependent helicase family protein,HvInt
5259,HORVU.MOREX.r2.6HG0452260,12,0,8.77E-07,0.002495241,1.795672834,0.181813,Histone H2B,HvInt
5260,HORVU.MOREX.r2.6HG0452270,24,0,8.77E-07,0.000348762,20.61789315,2.062103201,Histone H2A,HvInt
5261,HORVU.MOREX.r2.6HG0452280,24,0,8.78E-07,0.000387746,20.72669501,2.073018472,Histone H2A,HvInt
5262,HORVU.MOREX.r2.6HG0452310,24,0,8.78E-07,0.000418312,20.8780413,2.088180612,Histone H2A,HvInt
5263,HORVU.MOREX.r2.6HG0452720,2,0,8.75E-07,1.98E-05,0.949240931,0.094941917,Glycerol-3-phosphate acyltransferase,HvInt
5264,HORVU.MOREX.r2.6HG0452780,1,0,8.77E-07,1.71E-05,0.850728358,0.085088249,Carboxypeptidase,HvInt
5265,HORVU.MOREX.r2.6HG0452850,30,0,8.77E-07,0.134407489,14.93309161,1.614275902,RNA-binding NOB1,HvInt
5266,HORVU.MOREX.r2.6HG0452860,12,0,8.78E-07,4.48E-05,9.74383731,0.974424065,Kelch repeat-containing protein,HvInt
5267,HORVU.MOREX.r2.6HG0453060,43,679.8991327,8.78E-07,4.43E-05,1.022835125,0.102323366,Histone H3,HvInt
5268,HORVU.MOREX.r2.6HG0453070,43,660.8991327,8.78E-07,4.43E-05,1.022835125,0.102323366,Histone H3,HvInt
5269,HORVU.MOREX.r2.6HG0453290,12,0,8.78E-07,0.001698322,1.36494482,0.138022972,Histone H2B,HvInt
5270,HORVU.MOREX.r2.6HG0453310,33,501168.0815,8.78E-07,6.48E-06,9.036886137,0.903694449,Kinase family protein,MLA
5271,HORVU.MOREX.r2.6HG0453470,18,185202.9714,8.78E-07,2.54E-06,1.285421838,0.128544474,Transmembrane protein 97,HvInt
5272,HORVU.MOREX.r2.6HG0453490,16,0,8.76E-07,0.012247378,5.647920051,0.575814645,Catalase,MLA
5273,HORVU.MOREX.r2.6HG0453580,24,0,8.77E-07,0.000171052,19.35995595,1.936149542,Histone H2A,HvInt
5274,HORVU.MOREX.r2.6HG0453610,9,0,8.77E-07,0.000563785,1.889325991,0.189440006,"Heavy metal-associated domain containing protein, expressed",HvInt
5275,HORVU.MOREX.r2.6HG0453900,36,0.735294118,8.78E-07,0.000111859,11.48258681,1.148359354,Receptor kinase,HvInt
5276,HORVU.MOREX.r2.6HG0453970,4,0,8.77E-07,6.31E-05,1.080725483,0.108129343,BTB/POZ domain-containing protein,HvInt
5277,HORVU.MOREX.r2.6HG0454020,1,0,8.76E-07,4.18E-05,0.867120906,0.086749674,Remorin family protein,HvInt
5278,HORVU.MOREX.r2.6HG0454040,28,35664.03093,8.78E-07,0.005380056,11.03538353,1.108380404,DNA-directed RNA polymerase II subunit rpb4,HvInt
5279,HORVU.MOREX.r2.6HG0454100,2,0,8.74E-07,0.003471753,1.102483635,0.113372941,Low PSII Accumulation 3,HvInt
5280,HORVU.MOREX.r2.6HG0454150,5,0,8.78E-07,0.008321747,3.401114561,0.347601029,GMP synthase [glutamine-hydrolyzing],MLA
5281,HORVU.MOREX.r2.6HG0454200,125,7011.18697,8.78E-07,0.877634471,83.82579096,9.17245012,60S ribosomal protein L13,MLA
5282,HORVU.MOREX.r2.6HG0454270,10,0,8.77E-07,0.002976742,5.134520764,0.516131144,Signal peptide peptidase family protein,HvInt
5283,HORVU.MOREX.r2.6HG0454330,21,0,8.78E-07,0.000268857,12.54727941,1.254969912,Glutamate receptor,HvInt
5284,HORVU.MOREX.r2.6HG0454350,21,0,8.78E-07,0.000361781,12.67755147,1.26808075,Glutamate receptor,HvInt
5285,HORVU.MOREX.r2.6HG0454390,4,0,8.77E-07,0.000231747,2.244551441,0.224663717,Autophagy protein 5,HvInt
5286,HORVU.MOREX.r2.6HG0454520,1,0,8.77E-07,1.25E-05,0.843093879,0.084320646,Pentatricopeptide repeat-containing protein,HvInt
5287,HORVU.MOREX.r2.6HG0454570,17,3,8.77E-07,0.00014357,9.027072263,0.90283644,Kinase family protein,HvInt
5288,HORVU.MOREX.r2.6HG0454780,17,0,8.77E-07,0.000269049,9.497766709,0.950018815,Kinase family protein,HvInt
5289,HORVU.MOREX.r2.6HG0454870,4,19742.11031,8.78E-07,2.65E-06,0.803718882,0.080374272,Proteasome inhibitor-like protein,HvInt
5290,HORVU.MOREX.r2.6HG0454930,4,0,8.78E-07,3.90E-05,2.125833333,0.212618427,AT hook motif DNA-binding family protein,HvInt
5291,HORVU.MOREX.r2.6HG0455150,2,0,8.75E-07,4.23E-05,1.842360613,0.184274106,Copine-1,HvInt
5292,HORVU.MOREX.r2.6HG0455170,2,1,1.94E-08,0,1.702507607,0.170250761,RNA-binding KH domain protein,HvInt
5293,HORVU.MOREX.r2.6HG0455190,26,14036,8.78E-07,0.000466697,7.689792334,0.76939926,"NAC domain-containing protein, putative",HvInt
5294,HORVU.MOREX.r2.6HG0455430,35,565.9167808,8.78E-07,0.023255983,3.998700223,0.420800407,Histone H4,HvInt
5295,HORVU.MOREX.r2.6HG0455470,7,0,8.77E-07,0.001839033,2.868047502,0.28845988,"Syntaxin, putative",HvInt
5296,HORVU.MOREX.r2.6HG0455770,35,121944.3412,8.78E-07,0.000229626,2.523968789,0.252603542,Histone H4,HvInt
5297,HORVU.MOREX.r2.6HG0455800,35,565.9167808,8.78E-07,0.011730774,3.412434248,0.351801121,Histone H4,HvInt
5298,HORVU.MOREX.r2.6HG0455810,24,0,8.77E-07,0.000406685,20.75484475,2.075850491,Histone H2A,HvInt
5299,HORVU.MOREX.r2.6HG0455910,35,574.9167808,8.78E-07,0.007392058,3.403250616,0.346977914,Histone H4,HvInt
5300,HORVU.MOREX.r2.6HG0455940,35,796.0568414,8.78E-07,0.010407498,3.39688474,0.349055222,Histone H4,HvInt
5301,HORVU.MOREX.r2.6HG0455990,14,7033.004964,8.78E-07,0.000194545,3.231918046,0.323366895,Kinase family protein,HvInt
5302,HORVU.MOREX.r2.6HG0456120,3,0,8.76E-07,0.000150018,1.59612188,0.159747204,Histone-lysine N-methyltransferase,HvInt
5303,HORVU.MOREX.r2.6HG0456130,1,0,8.77E-07,2.69E-05,0.844923676,0.084516595,Calcium-binding family protein,HvInt
5304,HORVU.MOREX.r2.6HG0456150,3,0,8.76E-07,0.000122293,1.051568889,0.105266952,NPL4 family,HvInt
5305,HORVU.MOREX.r2.6HG0456190,15,0,8.78E-07,0.005433254,12.82327912,1.28721784,Eukaryotic translation initiation factor 3 subunit J,HvInt
5306,HORVU.MOREX.r2.6HG0456210,26,0,8.78E-07,0.001242073,3.748211053,0.375938971,Protein DETOXIFICATION,HvInt
5307,HORVU.MOREX.r2.6HG0456240,10,19703.00543,8.78E-07,0.004138484,4.673095046,0.47103414,Histone deacetylase complex subunit SAP18,MLA
5308,HORVU.MOREX.r2.6HG0456510,12,7,8.77E-07,0.000219896,4.817244056,0.481922312,"Glutamine synthetase, putative, expressed",HvInt
5309,HORVU.MOREX.r2.6HG0456640,10,13.50496408,8.78E-07,0.00016406,4.402698642,0.440417518,Peptidyl-prolyl cis-trans isomerase,HvInt
5310,HORVU.MOREX.r2.6HG0456710,4,0,8.77E-07,0.00026808,1.076935159,0.107934788,Cold shock protein,HvInt
5311,HORVU.MOREX.r2.6HG0456870,7,0,8.77E-07,0.000409794,1.907728378,0.191141652,Glutamate--tRNA ligase,HvInt
5312,HORVU.MOREX.r2.6HG0456880,1,0,8.76E-07,3.60E-05,0.859155932,0.085948002,Bifunctional protein FolD,HvInt
5313,HORVU.MOREX.r2.6HG0456990,2,0,8.78E-07,3.32E-05,1.663071411,0.166337012,Basic helix-loop-helix (BHLH) Transcription Factor,HvInt
5314,HORVU.MOREX.r2.6HG0457050,3,3,1.94E-08,0,2.656969578,0.265696958,"Protein kinase, putative",HvInt
5315,HORVU.MOREX.r2.6HG0457250,8,0,8.77E-07,0.002592018,4.291356416,0.431468457,aminoalcoholphosphotransferase 1,HvInt
5316,HORVU.MOREX.r2.6HG0457310,64,807068.63,8.78E-07,0.000107645,21.34924086,2.135020967,Pre-mRNA-splicing factor ISY1,MLA
5317,HORVU.MOREX.r2.6HG0457330,30,0.005434783,8.78E-07,0.117418649,8.654717009,0.971148485,"Adenylate kinase, putative",HvInt
5318,HORVU.MOREX.r2.6HG0457370,8,0,8.73E-07,0.00022456,5.699741127,0.570176217,50S ribosomal protein L4,HvInt
5319,HORVU.MOREX.r2.6HG0457460,26,89353.00392,8.78E-07,8.64E-06,1.263750547,0.126382832,O-acyltransferase WSD1,MLA
5320,HORVU.MOREX.r2.6HG0457580,35,579.9167808,8.78E-07,0.011543095,3.361295014,0.346518287,Histone H4,HvInt
5321,HORVU.MOREX.r2.6HG0457650,2,0,8.78E-07,6.07E-06,0.875293331,0.087534799,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",HvInt
5322,HORVU.MOREX.r2.6HG0457700,85,74576.23238,8.78E-07,0.015062529,37.39755885,3.753312162,Protein kinase,MLA
5323,HORVU.MOREX.r2.6HG0457760,34,0,8.77E-07,0.0638618,20.52957105,2.110432725,pumilio 9,HvInt
5324,HORVU.MOREX.r2.6HG0457980,3,0,8.77E-07,9.14E-05,2.604965578,0.260578811,"WRKY transcription factor, putative",HvInt
5325,HORVU.MOREX.r2.6HG0458020,6,42127,8.77E-07,0.000191752,1.956598253,0.195832402,3-isopropylmalate dehydratase large subunit,HvInt
5326,HORVU.MOREX.r2.6HG0458320,3,0,8.77E-07,9.24E-10,2.047712859,0.204771287,AT hook motif DNA-binding family protein,HvInt
5327,HORVU.MOREX.r2.6HG0458340,7,0,8.77E-07,0.000226937,1.313993738,0.131603617,BAX inhibitor 1,HvInt
5328,HORVU.MOREX.r2.6HG0458380,117,186949.8818,8.78E-07,0.048812745,41.97827536,4.241759007,THO complex subunit 7,MLA
5329,HORVU.MOREX.r2.6HG0458420,3,14053,8.78E-07,0,1.142935738,0.114293574,"Poly(RC)-binding protein, putative",HvInt
5330,HORVU.MOREX.r2.6HG0458440,0,0,1.94E-08,8.02E-05,0,7.22E-05,Early light-inducible protein,HvInt
5331,HORVU.MOREX.r2.6HG0458450,14,0,8.77E-07,0.000923294,4.616476447,0.462478609,"General transcription factor IIH subunit, putative",HvInt
5332,HORVU.MOREX.r2.6HG0458520,2,0,8.77E-07,0.001061165,1.761505325,0.177105581,Mechanosensitive ion channel,HvInt
5333,HORVU.MOREX.r2.6HG0458540,61,0,8.78E-07,0.033001864,35.413329,3.571034579,Eukaryotic translation initiation factor 3 subunit F,MLA
5334,HORVU.MOREX.r2.6HG0458560,6,0,8.77E-07,0.000105485,1.704720854,0.170567022,Autophagy-related protein 22-1,HvInt
5335,HORVU.MOREX.r2.6HG0458630,1,0,8.75E-07,0,0.800929721,0.080092972,protein kinase family protein,HvInt
5336,HORVU.MOREX.r2.6HG0458680,1,0,8.68E-07,5.15E-05,0.980213468,0.098067709,Ribosome biogenesis regulatory protein-like protein,HvInt
5337,HORVU.MOREX.r2.6HG0458690,13,0,8.77E-07,0.00026853,3.296571712,0.329898848,Golgi SNAP receptor complex member 1,HvInt
5338,HORVU.MOREX.r2.6HG0458700,4,0,8.77E-07,7.83E-05,1.115832267,0.111653668,Phosphatidate cytidylyltransferase,HvInt
5339,HORVU.MOREX.r2.6HG0458830,30,0,8.78E-07,0.021772769,10.94343002,1.113938494,Ribose-phosphate pyrophosphokinase family protein,MLA
5340,HORVU.MOREX.r2.6HG0459010,9,0,8.78E-07,0.000315343,2.625039556,0.262787764,SBP (S-ribonuclease binding protein) family protein,HvInt
5341,HORVU.MOREX.r2.6HG0459050,6,0,8.75E-07,0.000534325,2.571532816,0.257634174,Pyridoxal 5'-phosphate synthase subunit PdxT,HvInt
5342,HORVU.MOREX.r2.6HG0459060,3,0,8.77E-07,9.26E-05,1.092572411,0.109340579,Upstream activation factor subunit spp27,HvInt
5343,HORVU.MOREX.r2.6HG0459100,4,0,8.78E-07,3.86E-05,1.082449789,0.108279721,Phototropic-responsive NPH3 family protein,HvInt
5344,HORVU.MOREX.r2.6HG0459120,3,0,8.77E-07,7.94E-06,2.595318621,0.259539009,L-lactate dehydrogenase,HvInt
5345,HORVU.MOREX.r2.6HG0459230,6,7027,8.77E-07,8.68E-05,1.94854624,0.194932765,Beta-amylase,HvInt
5346,HORVU.MOREX.r2.6HG0459280,12,0,8.78E-07,0.002691744,1.822111821,0.184633752,Histone H2B,HvInt
5347,HORVU.MOREX.r2.6HG0459340,12,0,8.78E-07,0.00270524,1.833944658,0.185829182,Histone H2B,HvInt
5348,HORVU.MOREX.r2.6HG0459560,3,0,8.77E-07,1.60E-05,2.111507856,0.211165206,Transcription factor,HvInt
5349,HORVU.MOREX.r2.6HG0459740,38,6562.023986,8.78E-07,0.001189507,5.179639769,0.519034533,"Transmembrane protein, putative",HvInt
5350,HORVU.MOREX.r2.6HG0459760,6,0,8.78E-07,0.000157006,3.492402438,0.349381549,UBX domain-containing protein 1,HvInt
5351,HORVU.MOREX.r2.6HG0459780,5,42133,8.78E-07,5.89E-05,1.866462769,0.18669927,10 kDa chaperonin,HvInt
5352,HORVU.MOREX.r2.6HG0460020,6,0,8.77E-07,0.001555041,2.72680133,0.27407967,MALE GAMETOPHYTE DEFECTIVE 1,HvInt
5353,HORVU.MOREX.r2.6HG0460170,26,2087.920214,8.78E-07,0.008564014,4.888767575,0.49658437,"Chlorophyll a-b binding protein, chloroplastic",HvInt
5354,HORVU.MOREX.r2.6HG0460210,26,1707.462192,8.78E-07,0.009187841,5.01378839,0.509647896,"Chlorophyll a-b binding protein, chloroplastic",HvInt
5355,HORVU.MOREX.r2.6HG0460220,26,2471.847039,8.78E-07,0.008911082,4.939807922,0.502000766,"Chlorophyll a-b binding protein, chloroplastic",HvInt
5356,HORVU.MOREX.r2.6HG0460340,13,1325.64641,8.78E-07,3.70E-05,9.045557388,0.904589012,F-box family protein,MLA
5357,HORVU.MOREX.r2.6HG0460520,18,0,8.78E-07,0.00176875,11.44389791,1.145981666,P-loop containing nucleoside triphosphate hydrolases superfamily protein,HvInt
5358,HORVU.MOREX.r2.6HG0460780,1,0,8.74E-07,1.15E-06,0.889935916,0.088994625,Protoheme IX farnesyltransferase,HvInt
5359,HORVU.MOREX.r2.6HG0460800,7,0,8.76E-07,0.00691367,5.545380129,0.560760316,Sec14p-like phosphatidylinositol transfer family protein,MLA
5360,HORVU.MOREX.r2.6HG0460860,68,0,8.78E-07,0.034837191,43.93697245,4.425050717,Proteasome subunit alpha type,MLA
5361,HORVU.MOREX.r2.6HG0460890,2,7027,8.77E-07,9.92E-07,1.400532452,0.140054138,Phosphopantetheine adenylyltransferase,HvInt
5362,HORVU.MOREX.r2.6HG0461020,3,0,8.77E-07,0.000111019,2.565764416,0.256676359,Heat Stress Transcription Factor family protein,HvInt
5363,HORVU.MOREX.r2.6HG0461030,1,0,8.74E-07,0.002473065,0.960516835,0.098277442,Synaptotagmin-5,HvInt
5364,HORVU.MOREX.r2.6HG0461070,44,14838.94864,8.78E-07,0.001527731,20.33809027,2.035183985,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",HvInt
5365,HORVU.MOREX.r2.6HG0461230,14,1,8.77E-07,0.000349008,2.391583566,0.239472464,Kinase-like protein,HvInt
5366,HORVU.MOREX.r2.6HG0461240,3,0,8.77E-07,0.000193056,1.596702914,0.159844042,Esterase/lipase/thioesterase-like protein,HvInt
5367,HORVU.MOREX.r2.6HG0461430,1,0,8.75E-07,0.000704733,0.910709119,0.091705172,Subtilisin-like protease,HvInt
5368,HORVU.MOREX.r2.6HG0461500,1,0,8.76E-07,2.22E-05,0.854262304,0.085446233,Signal recognition particle protein,HvInt
5369,HORVU.MOREX.r2.6HG0461570,56,190.8771948,8.78E-07,0.018679081,11.59384514,1.176195687,Calreticulin/calnexin,MLA
5370,HORVU.MOREX.r2.6HG0461610,56,296.6141378,8.78E-07,0.018810037,11.5525001,1.172179043,Calreticulin/calnexin,MLA
5371,HORVU.MOREX.r2.6HG0461740,6,7027,8.78E-07,2.55E-05,2.763567783,0.276379714,5'-AMP-activated protein kinase subunit beta-1,HvInt
5372,HORVU.MOREX.r2.6HG0461750,3,14053,8.78E-07,9.00E-07,0.802789162,0.080279726,Plant regulator RWP-RK family protein,HvInt
5373,HORVU.MOREX.r2.6HG0461770,3,0,8.76E-07,0.001727118,1.016610697,0.103215476,Laminin subunit gamma-1,HvInt
5374,HORVU.MOREX.r2.6HG0461780,4,7027,8.76E-07,0.000323608,2.513092233,0.251600471,Prolyl endopeptidase,HvInt
5375,HORVU.MOREX.r2.6HG0461810,2,0,8.72E-07,2.05E-08,1.800907317,0.18009075,"Protein FLUORESCENT IN BLUE LIGHT, chloroplastic",HvInt
5376,HORVU.MOREX.r2.6HG0462000,4,7017,8.77E-07,8.91E-06,1.221902322,0.122198252,Plant protein 1589 of unknown function,HvInt
5377,HORVU.MOREX.r2.6HG0462060,20,0,8.77E-07,0.041008579,12.00935003,1.237842723,50S ribosomal protein L3,MLA
5378,HORVU.MOREX.r2.6HG0462110,8,0,8.78E-07,0.001324903,5.538133117,0.555005725,Ectonucleoside triphosphate diphosphohydrolase 1,HvInt
5379,HORVU.MOREX.r2.6HG0462220,13,1,8.77E-07,0.002214532,8.49099352,0.85109243,Splicing factor 3B subunit-like protein,HvInt
5380,HORVU.MOREX.r2.6HG0462270,13,0,8.77E-07,0.000302216,2.900935557,0.29036555,Histone acetyltransferase,HvInt
5381,HORVU.MOREX.r2.6HG0462400,4,0,8.77E-07,4.14E-05,1.402003601,0.14023759,Photosystem I assembly protein Ycf3,HvInt
5382,HORVU.MOREX.r2.6HG0462430,1,0,8.74E-07,0.00243075,0.944758682,0.096663543,Delta-aminolevulinic acid dehydratase,HvInt
5383,HORVU.MOREX.r2.6HG0462500,1,0,8.75E-07,1.19E-06,0.858025347,0.085803607,Mitochondrial import inner membrane translocase subunit tim-10 isoform 1,HvInt
5384,HORVU.MOREX.r2.6HG0462530,12,8138.554315,8.78E-07,4.04E-06,7.517823313,0.751785965,"NAC domain-containing protein, putative",HvInt
5385,HORVU.MOREX.r2.6HG0462750,8,5,8.77E-07,0.005905612,1.929671832,0.198282234,Protein arginine N-methyltransferase,MLA
5386,HORVU.MOREX.r2.6HG0462840,2,0,8.77E-07,0.00016511,0.911484619,0.091297061,"Glucan endo-1,3-beta-glucosidase-like protein",HvInt
5387,HORVU.MOREX.r2.6HG0463020,6,0,8.76E-07,3.87E-05,3.118390429,0.31187387,Terpene cyclase/mutase family member,HvInt
5388,HORVU.MOREX.r2.6HG0463090,14,21043,8.77E-07,0.000547179,2.28368081,0.228860542,"Protein phosphatase 2c, putative",MLA
5389,HORVU.MOREX.r2.6HG0463220,7,7022,8.78E-07,4.80E-05,2.036470502,0.203690254,Gamma-tubulin complex component,HvInt
5390,HORVU.MOREX.r2.6HG0463250,5,37630.40625,8.78E-07,6.83E-05,1.124648603,0.112526291,Subtilisin-like protease,MLA
5391,HORVU.MOREX.r2.6HG0463480,2,0,8.77E-07,0.001052516,0.902321094,0.091179374,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",HvInt
5392,HORVU.MOREX.r2.6HG0463490,4,0,8.77E-07,9.75E-06,1.053804518,0.10538923,Protein AIG2,HvInt
5393,HORVU.MOREX.r2.6HG0463510,5,0,8.77E-07,0.00881968,3.574106052,0.365348317,Galactokinase,MLA
5394,HORVU.MOREX.r2.6HG0463520,25,0,8.78E-07,0.000514271,3.026762527,0.303139097,CAAX amino terminal protease family protein,HvInt
5395,HORVU.MOREX.r2.6HG0463890,2,0,8.76E-07,0.00010738,1.749341211,0.175030763,DNA/RNA-binding protein KIN17,HvInt
5396,HORVU.MOREX.r2.6HG0463900,11,0,8.77E-07,0.003309998,4.067378709,0.409716869,Splicing factor 3B subunit 1,HvInt
5397,HORVU.MOREX.r2.6HG0463980,11,0,8.77E-07,0.007701479,4.19082145,0.426013476,ATP-dependent RNA helicase,MLA
5398,HORVU.MOREX.r2.6HG0464060,3,0,8.77E-07,0.003643697,0.950387172,0.098318044,Glycosyltransferase,MLA
5399,HORVU.MOREX.r2.6HG0464080,247,164547.2503,8.78E-07,0.229385898,121.2935576,12.33580307,26S proteasome non-ATPase regulatory subunit-like protein,MLA
5400,HORVU.MOREX.r2.6HG0464140,3,0,8.77E-07,0.000388379,0.90177337,0.090526878,Polynucleotide 5'-hydroxyl-kinase NOL9,HvInt
5401,HORVU.MOREX.r2.6HG0464240,24,0,8.77E-07,0.000391045,20.50575496,2.050927437,Histone H2A,HvInt
5402,HORVU.MOREX.r2.6HG0464510,12,0,8.78E-07,7.18E-05,4.440434949,0.444108113,Zinc finger protein CONSTANS-LIKE 2,HvInt
5403,HORVU.MOREX.r2.6HG0464530,210,124610.6605,8.78E-07,0.007804308,93.25954818,9.332978695,Mitogen-activated protein kinase,MLA
5404,HORVU.MOREX.r2.6HG0464540,2,0,8.78E-07,4.72E-06,0.858588018,0.085863048,Sn1-specific diacylglycerol lipase alpha,HvInt
5405,HORVU.MOREX.r2.6HG0464580,3,0,8.77E-07,0.003726827,0.949407603,0.098294904,nucleoporin,MLA
5406,HORVU.MOREX.r2.6HG0464620,4,0,8.77E-07,0.000965391,1.014663618,0.102335214,4/1 protein,HvInt
5407,HORVU.MOREX.r2.6HG0464630,14,126757.2514,8.78E-07,9.14E-05,6.654214888,0.665503712,Serrate RNA effector molecule,MLA
5408,HORVU.MOREX.r2.6HG0464690,26,0,8.78E-07,0.07056044,11.0333603,1.166840426,Eukaryotic translation initiation factor,HvInt
